FESTIVAL_NAME,EVENT_ON,CATEGORY,URL,SOCIAL,EMAIL,ADDRESS,ZIP_CODE,CITY,page_url
Cidre et Dragon,du 16 au 17 Septembre 2017,categorie,http://www.cidreetdragon.eu,https://www.facebook.com/cidreetdragon/ http://www.myspace.com/festivalcidreetdragon, infos@cidreetdragon.com,8 rue du Val FIquet,14790,Mouen,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31494
NoBorder,du 06 au 10 Decembre 2017,Musiques - Actuelles,http://www.festivalnoborder.com,https://www.facebook.com/Festival-NoBorder-113805642059056, lequartz@lequartz.com,"60, rue du Château",29210,Brest,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31693
Monterblanc Jazz Festival,du 15 au 16 Septembre 2017,Musiques - Jazz,http://www.notesetmots.fr/fr/,https://www.facebook.com/JazzAMonterblanc/, contact@notesetmots.fr,5 Place de la Mairie,56250,Monterblanc,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31501
Rencontres Trans Musicales,du 06 au 10 Decembre 2017,Musiques - Actuelles,http://www.lestrans.com,https://www.facebook.com/transmusicales?ref=hl http://twitter.com/TransMusicales, info@lestrans.com,10/12 rue Jean Guy,35000,Rennes,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=30993
Vibrations Urbaines,du 31 Octobre au 05 Novembre 2017,"Pluridisciplianire - Musiques, danses, spectacles...",http://vibrations-urbaines.net,https://www.facebook.com/vibrations.urbaines/ http://twitter.com/VU_Pessac, jeunesse@mairie-pessac.fr,Place de la Vème République,33600,Pessac,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31245
Festival Presqu'île Breizh,du 27 au 29 Octobre 2017,Culture - Celtique,http://www.Bretagne.leguidedesfestivals.com,https://www.facebook.com/PresquileBreizh/, presquilebreizh@outlook.fr,"3, place de l'église",56170,Quiberon,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31728
Festival International du Court Métrage de Lille,du 23 Septembre au 01 Octobre 2017,Cinéma - Court Métrage,http://www.festivalducourt-lille.com,https://www.facebook.com/FestivalCourtmetrageLille/, contact@rencontres-audiovisuelles.org,BP 1295,59014,Lille cedex,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31282
Festival Jazzèbre,du 23 Septembre au 22 Octobre 2017,Musiques - Jazz,http://www.jazzebre.com,https://www.facebook.com/jazzebre http://twitter.com/fest_jazzebre, info@jazzebre.com,18 rue Rempart Villeneuve,66000,Perpignan,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31286
Festival Ar'Lire,du 30 Septembre au 01 Octobre 2017,Livres-Divers,http://www.Rhône-Alpes.leguidedesfestivals.com,, darlire.lessentiers@orange.fr,chemin Grignon,26560,Montfroc,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=29167
Les Internationales de la Guitare,du 23 Septembre au 14 Octobre 2017,Musiques - Guitares,http://www.les-ig.com,https://www.facebook.com/internationales.delaguitare/ http://twitter.com/InterGuitare, publics@internationalesdelaguitare.com,"3, Rue Collot",34000,Montpellier,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31444
