category,city,name,zip,url,social,isRegion,address,date,email,page_url
Musiques - Actuelles,Le Havre,Ouest Park Festival,76620,http://ouestpark.com/,https://www.facebook.com/ouest.park/timeline http://twitter.com/LeTetris,False,"Fort de Tourneville
55, rue du 329è Régiment d’In",du 04 au 08 Octobre 2017, courrier@papasprod.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=28553
Musiques - Actuelles,Lille,Main Square Festival,59800,http://www.mainsquarefestival.fr,https://www.facebook.com/mainsquarefestival http://twitter.com/mainsquarefest,True,28 Rue Des jardins,du 06 au 08 Juillet 2018, flp.promo@orange.fr,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31252
Multimédia,Lille,Fête de l'anim',59800,http://www.Nord-Pas-de-Calais.leguidedesfestivals.com,https://Facebook.com/FeteAnim,True,18 rue Gosselet - BP1295,du 31 Mars 2047 au 02 Avril 2017, contact@fete-anim.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=29253
Musiques - Accordéons,Roubaix,Roubaix à l'Accordéon,59100,http://roubaixalaccordeon.fr,https://www.facebook.com/mairie.roubaix/,True,"17, Grand Place",du 12 au 16 Octobre 2017,,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31374
Cinéma - International,Arras,Arras Film Festival,62000,http://www.arrasfilmfestival.com,https://fr-fr.facebook.com/ArrasFilmFestiv/ http://twitter.com/ArrasFilmFestiv,True,"61, Grand'Place",du 03 au 12 Novembre 2017, info@arrasfilmfestival.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=29969
"Pluridisciplinaire - Musiques, danses, spectacles...",Billy-Montigny,Tiot Loupiot,62420,http://www.festival-tiotloupiot.com,https://www.facebook.com/droit.decite.3/,True,Rue Louis Blériot,du 09 Octobre au 26 Novembre 2017, contact@droitdecite.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31639
"- Créé en
                        2005",Brest,Fanfares,29210,http://www.Bretagne.leguidedesfestivals.com,,False,Le QuartzSquare Beethoven60 rue du ChâteauBP,du 25 au 27 Mai 2018, lequartz@lequartz.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31744
"Pluridisciplinaire - Musiques, danses, spectacles...",Saint-Brieuc,Art Rock,22046,http://www.artrock.org,https://www.facebook.com/FestivalArtRock,False,12 rue Poulain Corbion - BP 4637,du 18 au 20 Mai 2018, info@artrock.org,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31723
Musiques - Electro,Morlaix,Festival Panoramas,29600,http://festivalpanoramas.com,https://facebook.com/FestivalPanoramasMorlaix http://twitter.com/PANORAMAS16,False,6 rue Haute,du 20 au 22 Avril 2018, contact@wartiste.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31724
Musiques - du monde,desaignes,"L'estivale de musiques aux sources: ""De concert""",07570,http://www.lamastrock.com/www.musiquesauxsourcesd.jimdo.com,,False,Charpelière,du 08 Juillet 2019 au 09 Juillet 2016, musiquesauxsources@gmail.com,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=27319
Livres-Divers,Montfroc,Festival Ar'Lire,26560,http://www.Rhône-Alpes.leguidedesfestivals.com,,False,chemin Grignon,du 30 Septembre au 01 Octobre 2017, darlire.lessentiers@orange.fr,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=29167
Musiques - Divers, Lyon,Riddim Collision ,69000,http://www.riddimcollision.org/riddim-collision-du-10-au-15-novembre-2015/,https://www.facebook.com/RiddimCollision/ http://twitter.com/RiddimCollision,False,69000 Lyon,du 22 au 25 Novembre 2017, contact@riddimcollision.org,http://www.leguidedesfestivals.com/index.php5?page=fiche&festi=31515
